Id,Name,Description,Ingredients,Price
37,Nuestra Julep,Featured on the Padrecito cocktail menu august (fall) 2015,"1 oz High West Oat Whisky, .5 oz King's Ginger Liqueur, .5 oz Peach Shrub, .75 oz Lime, 1 dash Angostura Bitters, 1 dash Grapefruit Bitters",
38,Pisco Punch,The original SF Pisco Punch recipe from the 1800s is made with a pisco from Italia grapes known as “Rosa del Peru”.,"2 oz BarSol Selecto Italia Pisco, 2 oz Pineapple Juice, 1 oz Fresh Lime Juice, 1 oz Simple Syrup",
39,La Batida Loca,No Description,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Sweetened Condensed Milk, 1 oz Passion Fruit (fresh or puree), .5 oz Pilon Syrup*",
40,Neighborhood Negroni,Photo credit: Tim Turner (The Modern Mixologist: Contemporary Classic Cocktails),"1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",
41,Rothes Roy,No Description,"2 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 3 dash Angostura Bitters",
42,Angel's Face,Photo credit: liquor.com,"1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur",
43,Kiss,Photo credit: liquor.com,"2 oz Gin, .75 oz Sweet Vermouth, .75 oz Dubonnet Rouge, .25 oz Luxardo Maraschino Liqueur",
44,The Cappa,No Description,"1.5 oz Gin, 1.5 oz Pineau des Charentes, .5 oz Luxardo Maraschino Liqueur",
45,The Inside Job,Photo credit: liquor.com,"2 oz Bourbon, .25 oz Luxardo Maraschino Liqueur, .5 oz Simple Syrup, 1 dash Angostura Bitters, 1 dash Vieux Pontarlier Absinthe Francaise Superieure",
46,The Sun Also Rises,No Description,"2 oz Banks 5 Island Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur, 1 tsp Vieux Pontarlier Absinthe Francaise Superieure",
47,Trato Hecho,Photo credit: liquor.com,".75 oz Pineapple-Infused Mezcal*, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",
48,Nick & Janae,No Description,"1.5 oz H by HINE, .5 oz Luxardo Amaro Abano, .75 oz Fresh Lemon Juice, .75 oz Strawberry Syrup*, .5 oz Egg White",
49,On the Wings of Eagles,Photo credit: liquor.com,"1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca",
